Date,Product,Units_Sold,Revenue
2022-04-13,Monitor,7,318.07
2022-12-15,Printer,15,1887.45
2022-09-28,Printer,14,139.63
2022-04-17,Smartphone,13,1218.73
2022-03-13,Printer,12,787.58
2022-07-08,Smartphone,15,1099.75
2022-01-21,Laptop,15,1871.34
2022-04-13,Laptop,16,536.42
2022-05-02,Smartphone,7,1372.98
2022-08-03,Monitor,10,598.06
2022-11-27,Monitor,16,162.6
2022-03-29,Printer,12,1184.93
2022-04-10,Laptop,12,563.87
2022-12-26,Laptop,7,573.13
2022-06-01,Monitor,1,1347.89
2022-05-11,Tablet,9,622.36
2022-05-30,Monitor,8,314.22
2022-11-05,Monitor,17,122.24
2022-09-15,Tablet,15,1250.07
2022-12-10,Printer,18,1097.91
2022-10-21,Smartphone,12,472.54
2022-07-11,Printer,19,1615.74
2022-10-04,Tablet,17,758.4
2022-06-10,Tablet,7,447.53
2022-11-10,Printer,17,1949.5
2022-01-22,Smartphone,12,732.18
2022-09-10,Printer,5,1298.27
2022-08-24,Laptop,4,1250.21
2022-12-11,Laptop,7,1561.62
2022-02-18,Laptop,9,1359.57
2022-02-28,Smartphone,6,107.29
2022-06-19,Smartphone,11,798.06
2022-07-07,Tablet,12,1280.92
2022-09-28,Monitor,2,1852.93
2022-07-09,Smartphone,8,872.73
2022-06-24,Monitor,2,955.02
2022-02-20,Laptop,12,1938.36
2022-12-30,Laptop,1,1678.88
2022-02-24,Monitor,4,1482.02
2022-09-01,Printer,6,1863.3
2022-11-16,Tablet,13,1260.76
2022-05-11,Tablet,4,1687.56
2022-11-03,Printer,9,775.4
2022-05-15,Monitor,18,359.19
2022-01-21,Monitor,9,1352.97
2022-11-25,Smartphone,16,1010.04
2022-06-16,Laptop,11,1601.96
2022-10-01,Laptop,6,1475.76
2022-03-30,Monitor,16,1726.82
2022-11-12,Smartphone,8,1967.17
2022-01-14,Smartphone,19,1259.48
2022-08-30,Tablet,5,1833.85
2022-09-22,Tablet,8,912.54
2022-12-12,Monitor,9,1122.35
2022-02-22,Tablet,3,956.35
2022-12-06,Smartphone,1,496.97
2022-04-02,Printer,15,1770.98
2022-09-21,Laptop,2,1661.72
2022-02-04,Monitor,12,514.85
2022-07-25,Tablet,10,1974.55
2022-03-22,Tablet,4,1539.12
2022-02-19,Smartphone,4,101.98
